doc_index,register,source_row,Year,Level,Title,Topic Category
58,formal,58,2005.0,Bachelor's Thesis,Balettmapp Kungliga Operan: Operahusens design och arkitektur,
59,formal,59,2001.0,Bachelor's Thesis,Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,Information Systems
60,formal,60,2003.0,Bachelor's Thesis,En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,Business Administration
61,formal,61,2003.0,Bachelor's Thesis,Datakvalitetsverktyg i datalager: Hur hanterar datakvalitetsverktyg datakvalitetsfaktorer?,Information Systems
62,formal,62,2006.0,Bachelor's Thesis,Internetpoker: En studie i köpbeteendet hos pokerproffs,Business Administration
63,formal,63,2006.0,Bachelor's Thesis,Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,Economics
64,formal,64,2003.0,Bachelor's Thesis,En studie av inbyggda brandväggar: Microsoft XP och Red Hat Linux,Computer Sciences
65,formal,65,2001.0,Bachelor's Thesis,Affärsrelationer vid elektronisk handel,Information Systems
66,formal,66,2005.0,Bachelor's Thesis,Integration på två arbetsplatser,Social Sciences
67,formal,67,2002.0,Bachelor's Thesis,Innan den strukturella differentieringens tidevarv,Religious Studies Religious Studies Humanities
68,formal,68,2006.0,Bachelor's Thesis,Vad orsakar ilska?,Psychology
69,formal,69,2006.0,Bachelor's Thesis,Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,General Language Studies and Linguistics
70,formal,70,2006.0,Bachelor's Thesis,Etableringsstrategier på arbetsmarknaden: En intervjustudie av unga akademiker två år efter examen,
71,formal,71,2006.0,Bachelor's Thesis,Matematik för alla?: Hur lärare arbetar med individualisering,
72,formal,72,2006.0,Bachelor's Thesis,Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter,
73,formal,73,2005.0,Bachelor's Thesis,Transkulturell omvårdnad,
74,formal,74,2003.0,Bachelor's Thesis,Om personalförmåner motiverar de anställda,
75,formal,75,2006.0,Bachelor's Thesis,JÄVLAR ANAMMA! EN STUDIE OM VÄGEN UT UR MISSBRUK / THE SPIRIT WITHIN. A STUDY ON THE WAY OUT OF DRUGADDICTION,
76,formal,76,2003.0,Bachelor's Thesis,Koordination och organisation: - två viktiga begrepp vid skapandet av en innehållsrik hemsida för kommunala myndigheter,
77,formal,77,2006.0,Bachelor's Thesis,KommunistJesus och Varumärke: Talet om Che Guevara,
78,formal,78,2005.0,Bachelor's Thesis,"Lärande på elevers villkor: En studie om lärande på omvårdnadsprogrammet, med fokus på medicinsk grundkurs",
79,formal,79,2005.0,Bachelor's Thesis,Sjuksköterskan och döden,
80,formal,80,2006.0,Bachelor's Thesis,Damtidningar: ett behov?: En studie om återköp,
81,formal,81,2006.0,Bachelor's Thesis,Anmälningsskyldighet för kuratorer på ungdomsmottagningar: en studie i hur ett urval kuratorer på ungdomsmottagningar förhåller sig i sitt möte med barn under 15 år som är sexuellt aktiva,
82,formal,82,2005.0,Bachelor's Thesis,Sexualundervisning på särgymnasiet,Social Work
83,formal,83,2006.0,Bachelor's Thesis,En studie om flickor och kvinnor på elektrikerutbildningen,Nursing
84,formal,84,2006.0,Bachelor's Thesis,Ingen rädder för vargen?: En kvantitativ innehållsanalys av tre tidningstyper med avseende på rapporteringen om varg,
85,formal,85,2003.0,Bachelor's Thesis,Pappersmakulatur vid Bobergs Tryckeri AB - orsaker och förbättringsförslag,
86,formal,86,2006.0,Bachelor's Thesis,Balanserat styrkort i primärvården: En fallstudie om styrning med balanserat styrkort på KvaLita Närsjukvård AB,
87,formal,87,2006.0,Bachelor's Thesis,Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik,
88,formal,88,2005.0,Bachelor's Thesis,Vad är dyskalkyli?: En teoretisk-praktisk studie av dyskalkyli i skolan och om det är möjligt att bli hjälpt?,
89,formal,89,2001.0,Bachelor's Thesis,"Andersson, Anna-Karin",
90,formal,90,2004.0,Bachelor's Thesis,Verksamhetsanalys vid ett snickeriföretag – behov av organisationsanpassning vid expansion,
91,formal,91,2002.0,Bachelor's Thesis,Etik och ansvar. Sjuksköterskans upplevelse av inre etiskt ansvar i omvårdnaden,
92,formal,92,2002.0,Bachelor's Thesis,"Andersson, Annika",
93,formal,93,2006.0,Bachelor's Thesis,Sjuksköterskans upplevelser efter hot och våld i somatisk vård: en litteraturstudie,
94,formal,94,2006.0,Bachelor's Thesis,Kan iranska aktörer påverkas?: USA:s förmåga till strategiskt inflytande ur ett fältperspektiv,
95,formal,95,2004.0,Bachelor's Thesis,"Andersson, Bodil",Social Work
96,formal,96,2004.0,Bachelor's Thesis,Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie,Nursing
97,formal,97,2002.0,Bachelor's Thesis,Faktorer som kan påverka samarbetet mellan användare och systemutvecklare,
98,formal,98,2006.0,Bachelor's Thesis,Att vara eller inte vara: styrs uttaget av föräldraledighet av föreställningar eller faktiska förhållanden?,"Production Engineering, Human Work Science and Ergonomics"
99,formal,99,2004.0,Bachelor's Thesis,Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning,Other Social Sciences not elsewhere specified
100,formal,100,2006.0,Bachelor's Thesis,Är granskningen av 90-kontoinnehavare tillräcklig: Kritisk granskning av SFI:s rutiner,Business Administration
101,formal,101,2006.0,Bachelor's Thesis,"Andersson, Caroline",Sociology
102,formal,102,2006.0,Bachelor's Thesis,Upplevelser av interaktionen mellan klient och socialsekreterare -sett ur ett maktperspektiv,
103,formal,103,2004.0,Bachelor's Thesis,Personalens uppfattning om och möjlighet att påverka måltidernas innehåll i en förskola,Social Sciences
104,formal,104,2006.0,Bachelor's Thesis,Att drabbas av prostatacancer: Männens upplevelser av sjukdomen,Nursing
105,formal,105,2005.0,Bachelor's Thesis,Lek en livsnödvändighet: Tänkande om lek i grundskolan och träningsskolan,
106,formal,106,2004.0,Bachelor's Thesis,Inlärningsstilar - ett sätt att individanpassa undervisningen?,Social Sciences
107,formal,107,2004.0,Bachelor's Thesis,Framgångsfaktorer bakom gerillakrigföring,Social Sciences
108,formal,108,2005.0,Bachelor's Thesis,Straff- och offentligrättsliga legalitetsprincipen,
109,formal,109,2006.0,Bachelor's Thesis,Utveckling av ett företags marknadskommunikation med informationsteknik,Computer Engineering
110,formal,110,2003.0,Bachelor's Thesis,Den ekologiska utvecklingen av Motala ström samt dess förutsättningar,
111,formal,111,2002.0,Bachelor's Thesis,Evaluering av neurala nätverk för en fotbollsspelande mobil robot,Computer Sciences
112,formal,112,2006.0,Bachelor's Thesis,Stickrädsla- En kvalitativ studie om sjuksköterskans omvårdnad av patienter med stickrädsla,
113,formal,113,2005.0,Bachelor's Thesis,Frivillig information i delårsrapporter: Förekomsten av frivilligt offentliggjord information i delårsrapporter hos tio aktiebolag noterade på OMX Stockholmsbörsen,Business Administration
114,formal,114,2006.0,Bachelor's Thesis,Uppföljningsarbetet av efterkalkyler på Portsystem 2000 AB,
115,formal,115,2004.0,Bachelor's Thesis,En jämförelse av olika kommunikationstekniker och systemarkitekturiska lösningar vid uppbyggnad av nätverk i naturen,
116,formal,116,2006.0,Bachelor's Thesis,Slöja i skolan?,
117,formal,117,2004.0,Bachelor's Thesis,Informationens betydelse i den preoperativa vården,
118,formal,118,2004.0,Bachelor's Thesis,You´ve got m@il: en studie om sambandet mellan e-post och effektiv kommunikation i en IT-intensiv organisation,
119,formal,119,2005.0,Bachelor's Thesis,Hur den förändrade sexualiteten kan påverka mannens självbild och relationer efter behandling av prostatacancer,
120,formal,120,2002.0,Bachelor's Thesis,"Andersson, Helena",
121,formal,121,2005.0,Bachelor's Thesis,Fysisk beröring för människans välbefinnande?,Nursing
122,formal,122,2006.0,Bachelor's Thesis,”Man kan vara sjuk och frisk samma dag”: En studie av psykiskt störda lagöverträdares rättsliga ställning,Law (excluding Law and Society)
123,formal,123,2006.0,Bachelor's Thesis,Det moderna arbetslivets krav ur ett vuxenutvecklingspsykologiskt perspektiv,
124,formal,124,2003.0,Bachelor's Thesis,Har Försvarsmakten behov av simuleringssystem för logistik?,
125,formal,125,2000.0,Bachelor's Thesis,En undersökning om perspektivet på Islam i tre nyhetsprogram,
126,formal,126,2006.0,Bachelor's Thesis,"Andersson, Jennie",
127,formal,127,2006.0,Bachelor's Thesis,Medarbetarnas upplvelse av gruppdialogen enligt Amforas samtalsmodell,
128,formal,128,2005.0,Bachelor's Thesis,Daglig fysisk aktivitet för elever – en utmaning för alla lärare i grundskolan,
129,formal,129,2006.0,Bachelor's Thesis,Gymnasiematematik på distans: Varför så många avbryter sina distansstudier i matematik,
130,formal,130,2001.0,Bachelor's Thesis,Argument för och emot privat sjukvård,Human Computer Interaction
131,formal,131,2006.0,Bachelor's Thesis,Hur budgeterar gaseller?: En studie om tillväxtens påverkan på budgetering i gasellföretag,Business Administration
132,formal,132,2005.0,Bachelor's Thesis,Teambuilding: En analys av den svenska marknaden ur ett konsultperspektiv,Business Administration
133,formal,133,2004.0,Bachelor's Thesis,Datorstödd musikproduktion och tyst kunnande: En studie i design för användbarhet,
134,formal,134,2006.0,Bachelor's Thesis,Stöd vid övervikt och fetma,Nursing
135,formal,135,2004.0,Bachelor's Thesis,Lageroptimering med hjälp av datautvinning ur datalager,Computer Sciences
136,formal,136,2006.0,Bachelor's Thesis,"Andersson, Jonas",Law
137,formal,137,2006.0,Bachelor's Thesis,"Utvärdering av Malaria Antigen ELISA kit för diagnostik av malaria vid Christian Medical College and Hospital i Vellore, Indien.: en jämförande studie mellan Quantitative buffy coat och enzyme-linked immunosorbent assays (ELISA) metodik",Immunology
138,formal,138,2005.0,Bachelor's Thesis,Uppmuntrar läroboken i matematik eleverna till att tänka självständigt?,Social Sciences
