source,doc_id,condition,sentiment_label,p_pos,p_neg,p_neu,signed_polarity,affective_extremity,is_subjective
mistral,4,human_like,POSITIVE,0.618495,0.022425,0.35908,0.59607,0.64092,1
gpt,4,detector_aware,NEUTRAL,0.105918,0.157453,0.736629,-0.051535,0.263371,0
mistral,4,detector_aware,NEUTRAL,0.025762,0.143175,0.831063,-0.117412,0.168937,0
gpt,4,detector_evasive,NEUTRAL,0.117157,0.027974,0.854869,0.089182,0.145131,0
mistral,4,detector_evasive,NEUTRAL,0.120214,0.037088,0.842697,0.083126,0.157303,0
human,5,-,NEUTRAL,0.016027,0.087872,0.896101,-0.071845,0.103899,0
gpt,5,baseline,NEGATIVE,0.001249,0.97231,0.026441,-0.971061,0.973559,1
mistral,5,baseline,NEGATIVE,0.000485,0.980109,0.019407,-0.979624,0.980593,1
gpt,5,human_like,NEGATIVE,0.00119,0.96021,0.0386,-0.959021,0.9614,1
mistral,5,human_like,NEGATIVE,0.00306,0.870124,0.126816,-0.867065,0.873184,1
gpt,5,detector_aware,NEGATIVE,0.002803,0.959237,0.037961,-0.956434,0.962039,1
mistral,5,detector_aware,NEUTRAL,0.007041,0.392754,0.600205,-0.385713,0.399795,0
gpt,5,detector_evasive,NEGATIVE,0.000764,0.977054,0.022182,-0.97629,0.977818,1
mistral,5,detector_evasive,NEGATIVE,0.000771,0.984685,0.014544,-0.983914,0.985456,1
human,6,-,NEUTRAL,0.007401,0.010288,0.982311,-0.002887,0.017689,0
gpt,6,baseline,NEGATIVE,0.001848,0.95986,0.038293,-0.958012,0.961707,1
mistral,6,baseline,NEGATIVE,0.000303,0.992291,0.007407,-0.991988,0.992593,1
gpt,6,human_like,NEGATIVE,0.002528,0.952904,0.044567,-0.950376,0.955433,1
mistral,6,human_like,NEGATIVE,0.002945,0.91905,0.078005,-0.916105,0.921995,1
gpt,6,detector_aware,NEGATIVE,0.001927,0.970023,0.02805,-0.968096,0.97195,1
mistral,6,detector_aware,NEGATIVE,0.004718,0.872415,0.122868,-0.867697,0.877132,1
gpt,6,detector_evasive,NEGATIVE,0.000599,0.985274,0.014127,-0.984675,0.985873,1
mistral,6,detector_evasive,NEGATIVE,0.000291,0.995258,0.004452,-0.994967,0.995548,1
human,7,-,NEUTRAL,0.011095,0.081389,0.907515,-0.070294,0.092485,0
gpt,7,baseline,NEGATIVE,0.000803,0.974923,0.024274,-0.974119,0.975726,1
mistral,7,baseline,NEGATIVE,0.002287,0.891887,0.105827,-0.8896,0.894173,1
gpt,7,human_like,NEGATIVE,0.00126,0.958959,0.03978,-0.957699,0.96022,1
mistral,7,human_like,NEUTRAL,0.024101,0.250053,0.725846,-0.225953,0.274154,0
gpt,7,detector_aware,NEGATIVE,0.000549,0.989956,0.009495,-0.989407,0.990505,1
mistral,7,detector_aware,NEGATIVE,0.000483,0.9847,0.014817,-0.984217,0.985183,1
gpt,7,detector_evasive,NEGATIVE,0.001903,0.975186,0.022911,-0.973283,0.977089,1
mistral,7,detector_evasive,NEGATIVE,0.003588,0.816871,0.179541,-0.813283,0.820459,1
human,8,-,NEUTRAL,0.025499,0.023952,0.950549,0.001547,0.049451,0
gpt,8,baseline,NEUTRAL,0.011437,0.09584,0.892724,-0.084403,0.107276,0
mistral,8,baseline,NEGATIVE,0.025872,0.633555,0.340573,-0.607682,0.659427,1
gpt,8,human_like,NEUTRAL,0.009414,0.021198,0.969388,-0.011784,0.030612,0
mistral,8,human_like,NEUTRAL,0.02879,0.081328,0.889882,-0.052538,0.110118,0
gpt,8,detector_aware,NEUTRAL,0.013456,0.105087,0.881457,-0.09163,0.118543,0
mistral,8,detector_aware,NEUTRAL,0.006566,0.281837,0.711596,-0.275271,0.288404,0
gpt,8,detector_evasive,NEGATIVE,0.001654,0.943226,0.05512,-0.941572,0.94488,1
mistral,8,detector_evasive,NEUTRAL,0.015889,0.085128,0.898983,-0.06924,0.101017,0
human,9,-,NEUTRAL,0.011312,0.087191,0.901497,-0.075879,0.098503,0
gpt,9,baseline,NEUTRAL,0.014681,0.024015,0.961303,-0.009334,0.038697,0
mistral,9,baseline,NEGATIVE,0.00707,0.658852,0.334078,-0.651781,0.665922,1
gpt,9,human_like,NEUTRAL,0.010026,0.037131,0.952842,-0.027105,0.047158,0
mistral,9,human_like,NEUTRAL,0.009027,0.240516,0.750457,-0.231489,0.249543,0
gpt,9,detector_aware,NEGATIVE,0.009594,0.788256,0.20215,-0.778662,0.79785,1
mistral,9,detector_aware,NEGATIVE,0.001404,0.937313,0.061283,-0.935909,0.938717,1
gpt,9,detector_evasive,NEUTRAL,0.010875,0.085601,0.903524,-0.074726,0.096476,0
mistral,9,detector_evasive,NEUTRAL,0.013531,0.045676,0.940794,-0.032145,0.059206,0
human,10,-,POSITIVE,0.969842,0.001946,0.028212,0.967895,0.971788,1
gpt,10,baseline,NEUTRAL,0.360721,0.08057,0.558709,0.280152,0.441291,0
mistral,10,baseline,NEUTRAL,0.134845,0.213801,0.651354,-0.078956,0.348646,0
gpt,10,human_like,NEUTRAL,0.213383,0.338278,0.448339,-0.124894,0.551661,0
mistral,10,human_like,NEGATIVE,0.020268,0.799039,0.180693,-0.778771,0.819307,1
gpt,10,detector_aware,NEUTRAL,0.192511,0.253365,0.554123,-0.060854,0.445877,0
mistral,10,detector_aware,NEUTRAL,0.371126,0.061637,0.567237,0.309488,0.432763,0
gpt,10,detector_evasive,NEGATIVE,0.076111,0.663617,0.260272,-0.587505,0.739728,1
mistral,10,detector_evasive,NEUTRAL,0.070265,0.377428,0.552306,-0.307163,0.447694,0
human,11,-,NEUTRAL,0.107951,0.134041,0.758008,-0.02609,0.241992,0
gpt,11,baseline,NEGATIVE,0.085537,0.642884,0.271579,-0.557346,0.728421,1
mistral,11,baseline,NEUTRAL,0.293337,0.079092,0.627571,0.214245,0.372429,0
gpt,11,human_like,NEUTRAL,0.23027,0.210323,0.559407,0.019947,0.440593,0
mistral,11,human_like,NEUTRAL,0.179546,0.172904,0.64755,0.006643,0.35245,0
gpt,11,detector_aware,NEGATIVE,0.033845,0.742756,0.223399,-0.708912,0.776601,1
mistral,11,detector_aware,NEGATIVE,0.041764,0.528223,0.430013,-0.486459,0.569987,1
gpt,11,detector_evasive,NEUTRAL,0.097702,0.41471,0.487588,-0.317008,0.512412,0
mistral,11,detector_evasive,NEGATIVE,0.013095,0.889343,0.097563,-0.876248,0.902437,1
human,12,-,NEUTRAL,0.401404,0.013841,0.584755,0.387563,0.415245,0
gpt,12,baseline,NEUTRAL,0.33452,0.227202,0.438279,0.107318,0.561721,0
mistral,12,baseline,NEGATIVE,0.00662,0.935705,0.057676,-0.929085,0.942324,1
gpt,12,human_like,POSITIVE,0.515064,0.066208,0.418729,0.448856,0.581271,1
mistral,12,human_like,NEUTRAL,0.199631,0.17864,0.621729,0.020991,0.378271,0
gpt,12,detector_aware,NEGATIVE,0.009135,0.926833,0.064031,-0.917698,0.935969,1
mistral,12,detector_aware,NEGATIVE,0.0575,0.793405,0.149095,-0.735904,0.850905,1
gpt,12,detector_evasive,NEGATIVE,0.024038,0.895398,0.080564,-0.87136,0.919436,1
mistral,12,detector_evasive,NEUTRAL,0.061586,0.257048,0.681366,-0.195462,0.318634,0
human,13,-,NEUTRAL,0.023705,0.044612,0.931683,-0.020908,0.068317,0
gpt,13,baseline,NEGATIVE,0.039687,0.875223,0.08509,-0.835536,0.91491,1
mistral,13,baseline,NEGATIVE,0.004349,0.944427,0.051224,-0.940079,0.948776,1
gpt,13,human_like,NEGATIVE,0.035969,0.728535,0.235496,-0.692566,0.764504,1
mistral,13,human_like,NEUTRAL,0.279493,0.130688,0.589819,0.148805,0.410181,0
gpt,13,detector_aware,NEGATIVE,0.029179,0.855052,0.115769,-0.825872,0.884231,1
mistral,13,detector_aware,NEGATIVE,0.018681,0.537273,0.444046,-0.518593,0.555954,1
gpt,13,detector_evasive,NEGATIVE,0.075769,0.500051,0.424181,-0.424282,0.575819,1
mistral,13,detector_evasive,NEUTRAL,0.247019,0.124445,0.628535,0.122574,0.371465,0
human,14,-,NEGATIVE,0.01719,0.633833,0.348977,-0.616644,0.651023,1
gpt,14,baseline,NEUTRAL,0.338525,0.306196,0.355279,0.032329,0.644721,0
mistral,14,baseline,NEGATIVE,0.009289,0.925562,0.065149,-0.916272,0.934851,1
gpt,14,human_like,NEUTRAL,0.280104,0.232846,0.487049,0.047258,0.512951,0
mistral,14,human_like,NEUTRAL,0.137409,0.407027,0.455564,-0.269618,0.544436,0
gpt,14,detector_aware,NEUTRAL,0.152101,0.40289,0.445009,-0.250789,0.554991,0
mistral,14,detector_aware,NEUTRAL,0.166265,0.212467,0.621268,-0.046201,0.378732,0
gpt,14,detector_evasive,NEGATIVE,0.047155,0.787586,0.165259,-0.740432,0.834741,1
mistral,14,detector_evasive,NEUTRAL,0.095962,0.377475,0.526563,-0.281514,0.473437,0
human,15,-,NEUTRAL,0.010454,0.04233,0.947216,-0.031875,0.052784,0
gpt,15,baseline,NEUTRAL,0.044644,0.054285,0.90107,-0.009641,0.09893,0
mistral,15,baseline,NEUTRAL,0.179061,0.050103,0.770836,0.128957,0.229164,0
gpt,15,human_like,NEUTRAL,0.057368,0.027558,0.915074,0.02981,0.084926,0
mistral,15,human_like,NEGATIVE,0.013582,0.531125,0.455293,-0.517542,0.544707,1
gpt,15,detector_aware,NEUTRAL,0.016963,0.171343,0.811693,-0.15438,0.188307,0
mistral,15,detector_aware,NEUTRAL,0.020407,0.205389,0.774204,-0.184982,0.225796,0
gpt,15,detector_evasive,NEUTRAL,0.060471,0.184647,0.754882,-0.124176,0.245118,0
mistral,15,detector_evasive,NEGATIVE,0.003585,0.936595,0.05982,-0.93301,0.94018,1
human,16,-,NEUTRAL,0.020381,0.057021,0.922598,-0.03664,0.077402,0
gpt,16,baseline,NEUTRAL,0.094332,0.028129,0.877539,0.066203,0.122461,0
mistral,16,baseline,NEUTRAL,0.036972,0.029327,0.933701,0.007645,0.066299,0
gpt,16,human_like,NEUTRAL,0.056865,0.060655,0.88248,-0.003791,0.11752,0
mistral,16,human_like,NEUTRAL,0.016928,0.324629,0.658443,-0.307701,0.341557,0
gpt,16,detector_aware,NEUTRAL,0.033666,0.162949,0.803384,-0.129283,0.196616,0
mistral,16,detector_aware,NEGATIVE,0.009125,0.652107,0.338767,-0.642982,0.661233,1
gpt,16,detector_evasive,NEGATIVE,0.01187,0.716864,0.271265,-0.704994,0.728735,1
mistral,16,detector_evasive,NEGATIVE,0.01186,0.650912,0.337228,-0.639052,0.662772,1
human,17,-,NEGATIVE,0.011376,0.873262,0.115361,-0.861886,0.884639,1
gpt,17,baseline,NEUTRAL,0.220254,0.064368,0.715378,0.155886,0.284622,0
mistral,17,baseline,POSITIVE,0.771847,0.006201,0.221952,0.765646,0.778048,1
gpt,17,human_like,NEUTRAL,0.034594,0.052421,0.912984,-0.017827,0.087016,0
mistral,17,human_like,POSITIVE,0.958695,0.001549,0.039756,0.957147,0.960244,1
gpt,17,detector_aware,NEUTRAL,0.039029,0.060259,0.900712,-0.02123,0.099288,0
mistral,17,detector_aware,POSITIVE,0.697283,0.009557,0.29316,0.687726,0.70684,1
gpt,17,detector_evasive,NEUTRAL,0.084977,0.065733,0.84929,0.019244,0.15071,0
mistral,17,detector_evasive,NEUTRAL,0.023819,0.471878,0.504303,-0.448059,0.495697,0
human,18,-,NEUTRAL,0.291778,0.037975,0.670247,0.253802,0.329753,0
gpt,18,baseline,NEUTRAL,0.131425,0.093571,0.775004,0.037855,0.224996,0
mistral,18,baseline,POSITIVE,0.649911,0.009583,0.340506,0.640329,0.659494,1
gpt,18,human_like,NEUTRAL,0.0223,0.122601,0.855099,-0.100301,0.144901,0
mistral,18,human_like,NEUTRAL,0.366274,0.012804,0.620922,0.353471,0.379078,0
gpt,18,detector_aware,NEUTRAL,0.072582,0.04146,0.885957,0.031122,0.114043,0
mistral,18,detector_aware,POSITIVE,0.53451,0.052324,0.413166,0.482186,0.586834,1
gpt,18,detector_evasive,NEUTRAL,0.277277,0.095359,0.627364,0.181918,0.372636,0
mistral,18,detector_evasive,NEUTRAL,0.203275,0.015528,0.781197,0.187747,0.218803,0
human,19,-,NEUTRAL,0.186552,0.009394,0.804054,0.177158,0.195946,0
gpt,19,baseline,NEUTRAL,0.050245,0.054886,0.894869,-0.004641,0.105131,0
mistral,19,baseline,POSITIVE,0.8434,0.00548,0.15112,0.83792,0.84888,1
gpt,19,human_like,NEUTRAL,0.303973,0.066343,0.629684,0.237629,0.370316,0
mistral,19,human_like,POSITIVE,0.592119,0.009861,0.398021,0.582258,0.601979,1
gpt,19,detector_aware,NEUTRAL,0.253049,0.16477,0.582181,0.088279,0.417819,0
mistral,19,detector_aware,NEUTRAL,0.020077,0.023068,0.956854,-0.002991,0.043146,0
gpt,19,detector_evasive,NEGATIVE,0.031174,0.623716,0.34511,-0.592542,0.65489,1
mistral,19,detector_evasive,NEUTRAL,0.049034,0.102246,0.84872,-0.053213,0.15128,0
human,20,-,NEGATIVE,0.003433,0.966802,0.029765,-0.963368,0.970235,1
gpt,20,baseline,NEUTRAL,0.094982,0.085785,0.819233,0.009197,0.180767,0
mistral,20,baseline,NEUTRAL,0.110899,0.030941,0.85816,0.079959,0.14184,0
gpt,20,human_like,NEUTRAL,0.046414,0.039446,0.914139,0.006968,0.085861,0
mistral,20,human_like,POSITIVE,0.953516,0.001717,0.044767,0.951799,0.955233,1
gpt,20,detector_aware,NEUTRAL,0.163536,0.052317,0.784147,0.111218,0.215853,0
mistral,20,detector_aware,NEUTRAL,0.053113,0.035143,0.911745,0.01797,0.088255,0
gpt,20,detector_evasive,NEGATIVE,0.019842,0.815455,0.164702,-0.795613,0.835298,1
mistral,20,detector_evasive,NEUTRAL,0.027372,0.308577,0.664051,-0.281204,0.335949,0
human,21,-,NEUTRAL,0.040066,0.066519,0.893415,-0.026454,0.106585,0
gpt,21,baseline,NEUTRAL,0.068149,0.044818,0.887033,0.023331,0.112967,0
mistral,21,baseline,POSITIVE,0.53814,0.010631,0.45123,0.527509,0.54877,1
gpt,21,human_like,POSITIVE,0.84347,0.009735,0.146794,0.833735,0.853206,1
mistral,21,human_like,POSITIVE,0.775078,0.009414,0.215508,0.765664,0.784492,1
gpt,21,detector_aware,NEUTRAL,0.045315,0.128845,0.82584,-0.083531,0.17416,0
mistral,21,detector_aware,NEUTRAL,0.063683,0.017554,0.918763,0.04613,0.081237,0
gpt,21,detector_evasive,NEUTRAL,0.164533,0.400362,0.435106,-0.235829,0.564894,0
mistral,21,detector_evasive,NEUTRAL,0.107917,0.102197,0.789886,0.00572,0.210114,0
human,22,-,POSITIVE,0.681089,0.005965,0.312947,0.675124,0.687053,1
gpt,22,baseline,NEUTRAL,0.020993,0.022394,0.956613,-0.0014,0.043387,0
mistral,22,baseline,NEUTRAL,0.012763,0.008813,0.978424,0.00395,0.021576,0
gpt,22,human_like,NEUTRAL,0.039565,0.028834,0.931601,0.010731,0.068399,0
mistral,22,human_like,NEUTRAL,0.066435,0.014308,0.919257,0.052127,0.080743,0
gpt,22,detector_aware,NEUTRAL,0.045152,0.020767,0.934082,0.024385,0.065918,0
mistral,22,detector_aware,NEUTRAL,0.01922,0.017526,0.963254,0.001693,0.036746,0
gpt,22,detector_evasive,NEUTRAL,0.152925,0.084599,0.762476,0.068326,0.237524,0
mistral,22,detector_evasive,NEUTRAL,0.01732,0.064825,0.917855,-0.047505,0.082145,0
human,23,-,NEUTRAL,0.017701,0.318738,0.663561,-0.301036,0.336439,0
gpt,23,baseline,NEUTRAL,0.012485,0.020764,0.966751,-0.008279,0.033249,0
mistral,23,baseline,NEUTRAL,0.025214,0.014074,0.960713,0.01114,0.039287,0
gpt,23,human_like,NEUTRAL,0.018801,0.013112,0.968086,0.005689,0.031914,0
mistral,23,human_like,NEUTRAL,0.016418,0.01445,0.969132,0.001969,0.030868,0
gpt,23,detector_aware,NEUTRAL,0.02009,0.094859,0.885051,-0.074769,0.114949,0
mistral,23,detector_aware,NEUTRAL,0.014547,0.018157,0.967296,-0.00361,0.032704,0
gpt,23,detector_evasive,NEUTRAL,0.04139,0.12753,0.83108,-0.086141,0.16892,0
mistral,23,detector_evasive,NEUTRAL,0.017861,0.040531,0.941608,-0.02267,0.058392,0
human,24,-,NEUTRAL,0.008457,0.017548,0.973995,-0.009091,0.026005,0
gpt,24,baseline,NEUTRAL,0.019647,0.022418,0.957936,-0.002771,0.042064,0
mistral,24,baseline,NEUTRAL,0.033595,0.005899,0.960506,0.027697,0.039494,0
gpt,24,human_like,NEUTRAL,0.025387,0.009107,0.965506,0.01628,0.034494,0
mistral,24,human_like,NEUTRAL,0.049184,0.014617,0.936198,0.034567,0.063802,0
gpt,24,detector_aware,NEUTRAL,0.018223,0.026393,0.955384,-0.00817,0.044616,0
mistral,24,detector_aware,NEUTRAL,0.026458,0.015941,0.957601,0.010516,0.042399,0
gpt,24,detector_evasive,NEUTRAL,0.150257,0.04746,0.802283,0.102798,0.197717,0
mistral,24,detector_evasive,NEUTRAL,0.019946,0.044966,0.935089,-0.02502,0.064911,0
human,25,-,POSITIVE,0.676406,0.009228,0.314366,0.667178,0.685634,1
gpt,25,baseline,NEUTRAL,0.01542,0.056436,0.928144,-0.041017,0.071856,0
mistral,25,baseline,NEUTRAL,0.065121,0.0554,0.879479,0.00972,0.120521,0
gpt,25,human_like,NEUTRAL,0.020224,0.015779,0.963998,0.004445,0.036002,0
mistral,25,human_like,NEUTRAL,0.032244,0.018737,0.949019,0.013507,0.050981,0
gpt,25,detector_aware,NEUTRAL,0.061667,0.053844,0.884489,0.007823,0.115511,0
mistral,25,detector_aware,NEUTRAL,0.008567,0.022086,0.969347,-0.013519,0.030653,0
gpt,25,detector_evasive,NEUTRAL,0.030769,0.465548,0.503683,-0.43478,0.496317,0
mistral,25,detector_evasive,NEUTRAL,0.023908,0.028046,0.948046,-0.004138,0.051954,0
human,26,-,NEUTRAL,0.203986,0.042978,0.753036,0.161009,0.246964,0
gpt,26,baseline,NEUTRAL,0.038959,0.014687,0.946354,0.024272,0.053646,0
mistral,26,baseline,NEUTRAL,0.037319,0.015863,0.946817,0.021456,0.053183,0
gpt,26,human_like,NEUTRAL,0.018962,0.021556,0.959482,-0.002594,0.040518,0
mistral,26,human_like,NEUTRAL,0.0314,0.048822,0.919778,-0.017421,0.080222,0
gpt,26,detector_aware,NEUTRAL,0.082668,0.025521,0.891811,0.057147,0.108189,0
mistral,26,detector_aware,NEUTRAL,0.017558,0.031092,0.95135,-0.013535,0.04865,0
gpt,26,detector_evasive,NEUTRAL,0.017985,0.252524,0.72949,-0.234539,0.27051,0
mistral,26,detector_evasive,NEUTRAL,0.114454,0.041615,0.843932,0.072839,0.156068,0
human,27,-,POSITIVE,0.775746,0.005054,0.2192,0.770692,0.7808,1
gpt,27,baseline,NEUTRAL,0.010177,0.023281,0.966541,-0.013104,0.033459,0
mistral,27,baseline,NEUTRAL,0.024663,0.081988,0.893349,-0.057325,0.106651,0
gpt,27,human_like,NEUTRAL,0.013499,0.043171,0.943329,-0.029672,0.056671,0
mistral,27,human_like,NEUTRAL,0.007868,0.125341,0.866791,-0.117473,0.133209,0
gpt,27,detector_aware,NEUTRAL,0.009741,0.319445,0.670814,-0.309704,0.329186,0
mistral,27,detector_aware,NEUTRAL,0.006042,0.034183,0.959775,-0.028141,0.040225,0
gpt,27,detector_evasive,NEUTRAL,0.009219,0.232537,0.758244,-0.223317,0.241756,0
mistral,27,detector_evasive,NEUTRAL,0.00754,0.21674,0.77572,-0.209199,0.22428,0
human,28,-,NEUTRAL,0.01672,0.026978,0.956302,-0.010259,0.043698,0
gpt,28,baseline,NEUTRAL,0.043594,0.05333,0.903076,-0.009736,0.096924,0
mistral,28,baseline,NEUTRAL,0.005747,0.042357,0.951896,-0.03661,0.048104,0
gpt,28,human_like,NEUTRAL,0.019222,0.01314,0.967637,0.006082,0.032363,0
mistral,28,human_like,NEUTRAL,0.014675,0.143598,0.841727,-0.128923,0.158273,0
gpt,28,detector_aware,NEUTRAL,0.014865,0.33771,0.647425,-0.322844,0.352575,0
mistral,28,detector_aware,NEUTRAL,0.007682,0.026721,0.965597,-0.019039,0.034403,0
gpt,28,detector_evasive,NEUTRAL,0.013483,0.253371,0.733145,-0.239888,0.266855,0
mistral,28,detector_evasive,NEUTRAL,0.022352,0.362477,0.615171,-0.340125,0.384829,0
human,29,-,NEUTRAL,0.101965,0.051639,0.846395,0.050326,0.153605,0
gpt,29,baseline,NEUTRAL,0.040699,0.330635,0.628666,-0.289936,0.371334,0
mistral,29,baseline,NEGATIVE,0.004294,0.829156,0.166551,-0.824862,0.833449,1
gpt,29,human_like,NEUTRAL,0.05057,0.162212,0.787218,-0.111641,0.212782,0
mistral,29,human_like,NEUTRAL,0.013881,0.231284,0.754835,-0.217404,0.245165,0
gpt,29,detector_aware,NEUTRAL,0.103528,0.139074,0.757398,-0.035546,0.242602,0
mistral,29,detector_aware,NEUTRAL,0.0138,0.068202,0.917998,-0.054402,0.082002,0
gpt,29,detector_evasive,NEUTRAL,0.140391,0.22932,0.630289,-0.088929,0.369711,0
mistral,29,detector_evasive,NEUTRAL,0.045995,0.148971,0.805034,-0.102977,0.194966,0
human,30,-,NEGATIVE,0.000514,0.992919,0.006566,-0.992405,0.993434,1
gpt,30,baseline,NEGATIVE,0.000416,0.993936,0.005648,-0.993519,0.994352,1
mistral,30,baseline,NEGATIVE,0.000895,0.978917,0.020188,-0.978023,0.979812,1
gpt,30,human_like,NEGATIVE,0.000603,0.992673,0.006725,-0.99207,0.993275,1
mistral,30,human_like,NEGATIVE,0.003897,0.840887,0.155216,-0.83699,0.844784,1
gpt,30,detector_aware,NEGATIVE,0.000478,0.993922,0.0056,-0.993444,0.9944,1
mistral,30,detector_aware,NEGATIVE,0.000759,0.969067,0.030175,-0.968308,0.969825,1
gpt,30,detector_evasive,NEGATIVE,0.009011,0.807186,0.183802,-0.798175,0.816198,1
mistral,30,detector_evasive,NEGATIVE,0.000681,0.972914,0.026405,-0.972233,0.973595,1
human,31,-,NEUTRAL,0.006412,0.460244,0.533344,-0.453832,0.466656,0
gpt,31,baseline,NEGATIVE,0.001989,0.923182,0.07483,-0.921193,0.92517,1
mistral,31,baseline,NEUTRAL,0.009047,0.393336,0.597617,-0.38429,0.402383,0
gpt,31,human_like,NEGATIVE,0.004475,0.909697,0.085827,-0.905222,0.914173,1
mistral,31,human_like,NEGATIVE,0.001232,0.952241,0.046527,-0.951009,0.953473,1
gpt,31,detector_aware,NEGATIVE,0.000712,0.992201,0.007087,-0.99149,0.992913,1
mistral,31,detector_aware,NEGATIVE,0.000421,0.992845,0.006734,-0.992424,0.993266,1
gpt,31,detector_evasive,NEGATIVE,0.001875,0.959579,0.038545,-0.957704,0.961455,1
mistral,31,detector_evasive,NEGATIVE,0.000689,0.991836,0.007474,-0.991147,0.992526,1
human,32,-,NEUTRAL,0.248239,0.020958,0.730803,0.227282,0.269197,0
gpt,32,baseline,NEGATIVE,0.000579,0.993187,0.006235,-0.992608,0.993765,1
mistral,32,baseline,NEGATIVE,0.001713,0.933335,0.064952,-0.931622,0.935048,1
gpt,32,human_like,NEGATIVE,0.000597,0.994943,0.004461,-0.994346,0.995539,1
mistral,32,human_like,NEGATIVE,0.000706,0.976489,0.022805,-0.975783,0.977195,1
gpt,32,detector_aware,NEGATIVE,0.001259,0.952894,0.045847,-0.951635,0.954153,1
mistral,32,detector_aware,NEGATIVE,0.000398,0.991109,0.008493,-0.99071,0.991507,1
gpt,32,detector_evasive,NEGATIVE,0.001752,0.948871,0.049378,-0.947119,0.950622,1
mistral,32,detector_evasive,NEGATIVE,0.000768,0.991934,0.007298,-0.991166,0.992702,1
human,33,-,NEUTRAL,0.022311,0.107479,0.87021,-0.085167,0.12979,0
gpt,33,baseline,NEGATIVE,0.000802,0.981572,0.017626,-0.98077,0.982374,1
mistral,33,baseline,NEGATIVE,0.000524,0.991604,0.007872,-0.99108,0.992128,1
