Test,Feature_family,Purpose of Test,Example,GPT-5.2 | Informal | Baseline,GPT-5.2 | Informal | P1 Human-like,GPT-5.2 | Informal | P2 Detector-evasive,GPT-5.2 | Formal | Baseline,GPT-5.2 | Formal | P1 Human-like,GPT-5.2 | Formal | P2 Detector-evasive,Mistral | Informal | Baseline,Mistral | Informal | P1 Human-like,Mistral | Informal | P2 Detector-evasive,Mistral | Formal | Baseline,Mistral | Formal | P1 Human-like,Mistral | Formal | P2 Detector-evasive,Key Findings,N_informal,N_formal,Link to csv file,Link to python script
Colons /100tok,stylometric_surface,Enumerative/formal punctuation,,-0.13*,-0.03*,-0.16*,-0.07,-0.01*,-0.29*,-0.16*,-0.16*,-0.16*,+0.24*,-0.17,-0.29*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-0.29 (model<human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Question marks /100tok,stylometric_surface,Rhetorical/interactive questions,,-0.26*,-0.29*,-0.20,,,,-0.22*,-0.21*,-0.08*,,,,Largest gap GPT-5.2·Informal·P1 Human-like dz=-0.29 (model<human); significant in 5/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Ellipses /100tok,stylometric_surface,Trailing-off / informal tone,'nja... vet inte...',-0.16*,-0.16*,+0.01*,,,,-0.14*,-0.14*,+0.26*,,,,Largest gap Mistral·Informal·P2 Detector-evasive dz=+0.26 (model>human); significant in 6/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Exclamation marks /100tok,stylometric_surface,Expressive emphasis,'Grymt bra!!',+0.23*,-0.15*,-0.16*,,,,-0.01*,+0.00*,-0.13*,,,,Largest gap GPT-5.2·Informal·Baseline dz=+0.23 (model>human); significant in 6/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Sentence count,syntactic_complexity,Number of sentences (length proxy),,+0.77*,+1.17*,+1.62*,-0.44*,+0.36*,+1.94*,+0.90*,+1.23*,+1.08*,-0.41*,-0.25*,+0.57*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=+1.94 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Mean dependency distance,syntactic_complexity,Syntactic complexity (head-dependent distance),,+0.32*,+0.88*,-0.30*,+1.02*,+1.37*,-1.17*,+0.41*,+0.48*,-0.13*,+0.85*,+0.86*,-0.82*,Largest gap GPT-5.2·Formal·P1 Human-like dz=+1.37 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Mean parse-tree depth,syntactic_complexity,Sentence embedding depth,,+0.38*,+0.60*,-0.60*,+1.27*,+1.23*,-1.33*,-0.01,+0.13*,-0.37*,+0.59*,+0.75*,-1.11*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-1.33 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Subordinate-clause rate,syntactic_complexity,Subordination / syntactic complexity,"'...eftersom att...', '...som jag tror...'",+0.28*,+0.28*,-0.60*,+0.48*,+0.72*,-0.89*,+0.10*,+0.25*,-0.31*,+0.10,+0.54*,-1.14*,Largest gap Mistral·Formal·P2 Detector-evasive dz=-1.14 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Max parse-tree depth,syntactic_complexity,Deepest clause nesting,,+0.68*,+1.05*,+0.27*,+0.51*,+0.75*,-0.39*,+0.50*,+0.65*,+0.10*,+0.07,+0.21*,-1.04*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.05 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Length (alpha tokens),pragmatic_markers,Output length (alphabetic tokens),longer vs terse replies,+0.83*,+1.53*,+1.37*,+0.10*,+1.16*,+1.37*,+0.81*,+1.23*,+0.74*,-0.22*,+0.12*,-0.36*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.53 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: informal (count),pragmatic_markers,,,+0.31*,+1.42*,+0.73*,-0.13,+0.34*,+0.41*,+0.60*,+0.85*,+0.64*,-0.11,+0.29*,-0.14,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.42 (model>human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges (count),pragmatic_markers,Absolute hedge use,,+0.87*,+1.40*,+0.80*,+0.57*,+1.29*,+0.68*,+1.07*,+1.41*,+1.01*,+0.34*,+0.75*,+0.22*,Largest gap Mistral·Informal·P1 Human-like dz=+1.41 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: neutral (count),pragmatic_markers,,,+0.90*,+0.93*,+0.55*,+0.68*,+1.25*,+0.63*,+1.07*,+1.32*,+0.95*,+0.46*,+0.81*,+0.32*,Largest gap Mistral·Informal·P1 Human-like dz=+1.32 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Negation (count),pragmatic_markers,,,-0.05,+0.82*,+1.10*,-0.22*,+0.51*,+0.26*,+0.48*,+0.66*,+0.54*,-0.52*,-0.10,-0.35*,Largest gap GPT-5.2·Informal·P2 Detector-evasive dz=+1.10 (model>human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges /100tok,pragmatic_markers,Epistemic caution / uncertainty,"kanske, möjligen, typ, väl",+0.31*,+0.19*,-0.16*,+0.64*,+0.92*,+0.26*,+0.58*,+0.65*,+0.50*,+0.59*,+0.84*,+0.50*,Largest gap GPT-5.2·Formal·P1 Human-like dz=+0.92 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Discourse particles (count),pragmatic_markers,,,+0.16*,+0.65*,-0.02,,,,+0.72*,+0.91*,+0.65*,,,,Largest gap Mistral·Informal·P1 Human-like dz=+0.91 (model>human); significant in 5/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: neutral /100tok,pragmatic_markers,Register-neutral hedges,,+0.43*,-0.04*,-0.21*,+0.75*,+0.89*,+0.23*,+0.65*,+0.70*,+0.56*,+0.65*,+0.86*,+0.57*,Largest gap GPT-5.2·Formal·P1 Human-like dz=+0.89 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Boosters (count),pragmatic_markers,,,+0.51*,+0.75*,-0.13*,,,,+0.33*,+0.55*,+0.07*,,,,Largest gap GPT-5.2·Informal·P1 Human-like dz=+0.75 (model>human); significant in 6/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Negation-sentence rate,pragmatic_markers,Share of negated sentences,,-0.32*,+0.06*,-0.19*,-0.08,+0.37*,-0.39*,+0.02*,+0.05*,+0.21*,-0.44*,-0.01,-0.51*,Largest gap Mistral·Formal·P2 Detector-evasive dz=-0.51 (model<human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Epistemic /100tok,pragmatic_markers,Explicit epistemic stance markers,,-0.00*,-0.13,-0.21*,-0.47*,-0.38*,-0.48*,-0.05,+0.01*,-0.16*,-0.40*,-0.28*,-0.30*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-0.48 (model<human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Negation /100tok,pragmatic_markers,Use of negation,"inte, aldrig, ingen",-0.31*,-0.14,+0.11*,-0.28*,+0.08*,-0.18,-0.05*,-0.07,+0.28*,-0.48*,-0.15,-0.27*,Largest gap Mistral·Formal·Baseline dz=-0.48 (model<human); significant in 8/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Epistemic (count),pragmatic_markers,,,+0.23*,+0.33*,+0.02,-0.42*,-0.16,-0.27*,+0.13*,+0.34*,+0.06*,-0.42*,-0.23*,-0.35*,Largest gap GPT-5.2·Formal·Baseline dz=-0.42 (model<human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: informal /100tok,pragmatic_markers,Colloquial hedges,"typ, liksom, ju",-0.03*,+0.33*,+0.00*,-0.03,+0.23*,+0.24*,+0.16*,+0.22*,+0.12*,-0.00,+0.37*,-0.03,Largest gap Mistral·Formal·P1 Human-like dz=+0.37 (model>human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Discourse particles /100tok,pragmatic_markers,Spoken-style discourse particles,"ju, väl, alltså, liksom",-0.12,-0.10,-0.36*,,,,+0.33*,+0.35*,+0.32*,,,,Largest gap GPT-5.2·Informal·P2 Detector-evasive dz=-0.36 (model<human); significant in 4/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: formal (count),pragmatic_markers,,,+0.04,+0.21*,+0.10*,+0.00,+0.14,+0.03,-0.07*,-0.03,-0.04,-0.18*,-0.24*,-0.19*,Largest gap Mistral·Formal·P1 Human-like dz=-0.24 (model<human); significant in 6/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Hedges: formal /100tok,pragmatic_markers,Formal-register hedges,,-0.03,-0.00*,-0.03,-0.02,-0.00,-0.10,-0.08*,-0.07*,-0.07*,-0.15,-0.22*,-0.16,Largest gap Mistral·Formal·P1 Human-like dz=-0.22 (model<human); significant in 5/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Boosters /100tok,pragmatic_markers,Intensifiers / certainty markers,"verkligen, absolut, väldigt",+0.14*,+0.03*,-0.22*,,,,+0.04*,+0.06*,-0.13*,,,,Largest gap GPT-5.2·Informal·P2 Detector-evasive dz=-0.22 (model<human); significant in 6/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: All /100tok,ner,All named-entity rate per 100 tokens,e.g. 'total',-0.16*,-0.15*,+0.06*,-0.53*,-0.56*,-0.04,-0.12*,-0.15*,-0.08,-0.23*,-0.37*,+0.04,Largest gap GPT-5.2·Formal·P1 Human-like dz=-0.56 (model<human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Organisation /100tok,ner,Organisation named-entity rate per 100 tokens,e.g. 'SVT',-0.03,-0.03*,+0.15*,-0.33*,-0.37*,-0.04,-0.00*,-0.02*,+0.04*,-0.15,-0.22*,+0.01,Largest gap GPT-5.2·Formal·P1 Human-like dz=-0.37 (model<human); significant in 8/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Person /100tok,ner,Person named-entity rate per 100 tokens,e.g. 'Anna',-0.11*,-0.10*,-0.00*,-0.35*,-0.32*,+0.04,-0.09*,-0.11*,-0.07,-0.23*,-0.21*,+0.06,Largest gap GPT-5.2·Formal·Baseline dz=-0.35 (model<human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Location /100tok,ner,Location named-entity rate per 100 tokens,e.g. 'Stockholm',-0.10,-0.08,+0.05*,-0.30*,-0.33*,-0.10,-0.07,-0.09,-0.04,-0.03,-0.23*,+0.04,Largest gap GPT-5.2·Formal·P1 Human-like dz=-0.33 (model<human); significant in 4/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Time /100tok,ner,Time named-entity rate per 100 tokens,e.g. 'igår',-0.10*,-0.11*,-0.05,-0.22*,-0.21*,-0.06,-0.08*,-0.06,-0.03,-0.24*,-0.20*,-0.09,Largest gap Mistral·Formal·Baseline dz=-0.24 (model<human); significant in 7/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Work/artefact /100tok,ner,Work/artefact named-entity rate per 100 tokens,e.g. 'Bibeln',-0.03,-0.04,-0.02,-0.10,-0.11,+0.05,-0.04*,-0.03,-0.03,-0.06,-0.13,-0.11,Largest gap Mistral·Formal·P1 Human-like dz=-0.13 (model<human); significant in 1/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Event /100tok,ner,Event named-entity rate per 100 tokens,e.g. 'valet',-0.03,+0.05*,+0.02,+0.08,+0.00,+0.08,+0.03,+0.02,+0.01,+0.08,+0.08,+0.08,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=+0.08 (model>human); significant in 1/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Measure /100tok,ner,Measure named-entity rate per 100 tokens,e.g. '5 kg',-0.03,-0.03,-0.03,-0.08,-0.08,-0.08,+0.06*,+0.06*,-0.01,-0.08,-0.08,-0.08,Largest gap GPT-5.2·Formal·Baseline dz=-0.08 (model<human); significant in 2/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
NER: Object /100tok,ner,Object named-entity rate per 100 tokens,e.g. 'bilen',+0.05*,-0.01,+0.02*,-0.08,-0.08,-0.06,+0.03,-0.01,+0.01,-0.08,-0.08,-0.08,Largest gap GPT-5.2·Formal·Baseline dz=-0.08 (model<human); significant in 2/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
SMOG index,textstat,Readability via polysyllables,,+0.45*,+0.57*,-0.39*,+1.59*,+1.06*,-2.53*,+0.22*,+0.17*,-0.44*,+1.23*,+0.85*,-1.14*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-2.53 (model<human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Gunning fog,textstat,Readability via long-word density,,+0.16*,+0.33*,-0.62*,+1.54*,+1.03*,-2.50*,+0.03*,-0.00*,-0.63*,+1.28*,+0.81*,-0.59*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-2.50 (model<human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Flesch-Kincaid grade,textstat,Reading grade level,,+0.05*,+0.20*,-0.39*,+1.71*,+1.18*,-2.43*,-0.04*,-0.06,-0.44*,+1.23*,+0.90*,-0.81*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-2.43 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Flesch reading-ease,textstat,Readability (higher = easier),,+0.04*,-0.02*,+0.25*,-1.41*,-0.75*,+2.01*,+0.13*,+0.16*,+0.32*,-1.49*,-0.87*,-0.10,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=+2.01 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Word count,textstat,Output length (words),,+0.83*,+1.52*,+1.37*,+0.09*,+1.16*,+1.36*,+0.80*,+1.23*,+0.74*,-0.23*,+0.11*,-0.37*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.52 (model>human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Character count,textstat,Output length (characters),,+0.80*,+1.45*,+1.31*,+0.26*,+1.26*,+1.17*,+0.73*,+1.11*,+0.69*,-0.02,+0.23*,-0.27*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.45 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Syllable count (approx.),textstat,Phonological length proxy,,+0.81*,+1.45*,+1.29*,+0.26*,+1.26*,+1.09*,+0.73*,+1.11*,+0.70*,-0.02,+0.24*,-0.29*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+1.45 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: PUNCT proportion,pos_proportions,Proportion of PUNCT tokens,e.g. '.',-0.04,+0.44*,+0.47*,+0.53*,+0.53*,+0.80*,+0.14*,+0.06*,+0.17*,+2.05*,+1.18*,+1.15*,Largest gap Mistral·Formal·Baseline dz=+2.05 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: CCONJ proportion,pos_proportions,Proportion of CCONJ tokens,e.g. 'och',+0.38*,+0.49*,+0.48*,+1.77*,+1.30*,-0.05,+0.66*,+0.64*,+0.56*,+0.90*,+0.96*,-0.15,Largest gap GPT-5.2·Formal·Baseline dz=+1.77 (model>human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: VERB proportion,pos_proportions,Proportion of VERB tokens,e.g. 'springa',+0.14*,-0.07*,+0.17*,-0.07,-0.02,+1.49*,-0.10*,-0.04*,-0.06*,-0.50*,-0.14,+0.40*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=+1.49 (model>human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: PRON proportion,pos_proportions,Proportion of PRON tokens,e.g. 'jag',+0.05*,-0.28*,-0.35*,-1.18*,-0.93*,+0.74*,+0.08*,+0.23*,+0.20*,-1.33*,-0.88*,-0.75*,Largest gap Mistral·Formal·Baseline dz=-1.33 (model<human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: ADP proportion,pos_proportions,Proportion of ADP tokens,e.g. 'på',+0.04*,-0.20*,-0.05,-0.68*,-0.89*,-1.22*,-0.12*,-0.16*,-0.32*,-0.99*,-1.12*,-1.33*,Largest gap Mistral·Formal·P2 Detector-evasive dz=-1.33 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: ADV proportion,pos_proportions,Proportion of ADV tokens,e.g. 'ofta',-0.05,+0.13*,-0.09*,+0.69*,+1.24*,+1.23*,+0.15*,+0.26*,+0.20*,-0.24*,+0.30*,-0.31*,Largest gap GPT-5.2·Formal·P1 Human-like dz=+1.24 (model>human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
