question,cosine_similarity
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.62105876
Kan man driva ett klockbatteri genom att utvinna energi från handledens värme? Köpte en Apple Watch och det slog mig. Borde det inte gå att omvandla den värmeenergi som handleden utsöndrar för att ladda batteriet? Någon som vet/hört något?,0.58742833
Ifall det finns no go zoner där polisen inte färdas varför säljer man bara inte sitt knark där?,0.5532278
Vad kallar en blind programmerare sin ledhund? SYNTAX.,0.19075057
Vilken streaming tjänst är bäst i nuläget?,0.5970719
"Mat till event utan kylskåp, men micro? Hyfsat less på panpizzor. **edit:** shit, menade inte till andra, bara till mig då",0.5901189
Är det brunsmetning att peka på det uppenbara?,0.39718738
DGS TV - Vad tänker norrmännen om Sverige?,0.4406541
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.35769498
"Handla underkläder på Centralstationen? Finns det någon butik på Stockholms Centralstation där man kan köpa underkläder (för män; strumpor, kallingar)?",0.60698223
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.334884
Nyår i Stockholm? Har nån tips på vad man kan hitta på på nyårsafton i Stockholm?,0.4225434
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.681667
"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",0.5759953
Finns det ingen Badmintonhall i Bromma/Kungshölmen?,0.6905463
Tips på bra julbord i Stockholm? Var går man ut och äter kvalitets-julbord i Stockholm? (Lunch eller middag spelar ingen roll.),0.7056321
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.43835828
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6033356
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6872736
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6767431
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.5580303
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.5914366
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.46842524
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.37917113
"Hej, Har just pluggat färdigt och sökt samt fått en traineeplats (6 månader, sedan fast anställning) på ett medelstort företag.  Vad anser ni rent generellt om traineetjänster? Är det bra att ha i sitt CV eller är det kanske bättre att skaffa en fast tjänst direkt? /S",0.7571728
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.7163935
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.7062288
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.79807866
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.6254345
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.7522291
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.75381863
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.19485754
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.34657925
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.6015966
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.57565385
"The title says it all, tänkte om nån visste varför?",0.26409566
"The title says it all, tänkte om nån visste varför?",0.26459455
"The title says it all, tänkte om nån visste varför?",0.19342214
"The title says it all, tänkte om nån visste varför?",0.24099621
"The title says it all, tänkte om nån visste varför?",0.1772165
"The title says it all, tänkte om nån visste varför?",0.1467976
"The title says it all, tänkte om nån visste varför?",0.22756018
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.31603953
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.34623393
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.29631174
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.3402827
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.31961185
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.4484202
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.3773879
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.2153776
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.37738866
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.40023416
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.35205132
Ingen som vet vart man kan köpa Stenströms under bara skjortor - på internet?,0.5017613
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.2650032
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.47555697
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.22913957
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.21361819
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.40723872
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.31986907
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.270544
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.49211472
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.47282007
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.51858854
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5354875
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.42340168
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.33876556
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.56245387
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.4332433
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.594638
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.1726132
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.5590776
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.5589968
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.2582794
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.54999113
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.36689293
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5407273
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5827477
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5084193
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.500679
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5505887
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.63011503
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.432198
