question,cosine_similarity
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.36572766
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.5054697
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.7368648
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.68346334
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.5458131
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.6042577
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.390526
Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,0.3160743
"Hej, Har just pluggat färdigt och sökt samt fått en traineeplats (6 månader, sedan fast anställning) på ett medelstort företag.  Vad anser ni rent generellt om traineetjänster? Är det bra att ha i sitt CV eller är det kanske bättre att skaffa en fast tjänst direkt? /S",0.7738992
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.7334496
"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater   Tänkte testa nå nytt",0.8142432
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.82198566
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.5697932
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.72682995
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.7772869
"Hej!  Jag och min kompis är intresserad av att åka till Frankrike, någon som vet ett bra och vackert ställe att åka till?  Något ställe där det inte är allt för dyrt med hotell, helst!  Tack i förhand!",0.15357164
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.26752776
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.50032556
Advokat anses väl av allmänheten vara ett betydligt mer statusfyllt yrke än att vara åklagare. Skiljer sig den bilden inom juristkåren?,0.5429245
"The title says it all, tänkte om nån visste varför?",0.16105744
"The title says it all, tänkte om nån visste varför?",0.24080332
"The title says it all, tänkte om nån visste varför?",0.20820588
"The title says it all, tänkte om nån visste varför?",0.19185466
"The title says it all, tänkte om nån visste varför?",0.13815197
"The title says it all, tänkte om nån visste varför?",0.12636234
"The title says it all, tänkte om nån visste varför?",0.0962931
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.33081692
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.3084466
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.27178705
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.46060923
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.35529917
Ska man ha den? Den verkar klart bättre än tidigare varianter.  Synpunkter?,0.53747416
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.4096887
Var ett tag jag så en dokumentär där en ung flicka hade otroligt många personligheter minns också att hon skrev dagbok och där fick man se hur det ändrades i texten av dem olika personligheterna. var länge sen jag såg den vill gärna ta och se den igen. någon som vet vilken dokumentär jag menar?,0.25455174
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.40112662
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.33079255
"Stopp vid Odenplan för tunnelbanans gröna linje 17, 18 och 19 sedan kl 0:08 på grund av ordningsproblem.",0.31625646
Ingen som vet vart man kan köpa Stenströms under bara skjortor - på internet?,0.5247591
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.10634744
någon som har lyckats och vet hur man gör? vet att det ska fungera men jag har pillat runt i månader utan att lyckas...,0.38618922
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.1204775
"Undrar om det är någon som har gynekomasti? Eller har opererat sig för det, hur blev resultatet i såfall? Och hur mycket kostade det?",0.11074607
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.4948995
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.3222574
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.37475002
"Hejhej käre tiltare. Någon som vet ifall några nya nerladdningsbara klienter till mac har släppts? Hitills vet jag bara om Full tilt. En innom EU hade varit götta. Vet att det finns en tråd, men tills dom fixar sök så korspostar jag och postar nytt. /fl.",0.42952847
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.51068413
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5830676
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5082061
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.4324668
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.39301968
"Jag befinner mig i Stockholm för tillfället och skulle vilja ha tips på affärer som säljer diverse brädspel, t.ex. Diplomacy eller Settlers of Catan. De vanliga affärerna tycks inte ha dessa spel. Tacksam för svar!",0.5900973
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.348663
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.5359729
"Vet ej om frågan varit uppe förut.  Borde migrationsverket fråga nyanlända om vad de tycker om Lars Vilks?  Är det en dum fråga? Extrema islamister kan ju för ett ögonblick säga""fel saker"" på en intervju. Så jag tycker den borde ställas. Vad tycker ni FB:are?",0.18033983
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.35347292
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.6286497
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.23846957
Råkade få i mig härsken allroundkrydda och undrar nu vad det kan få för konsekvenser.,0.59157
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.312078
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5362278
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5820562
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.46454895
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.37627548
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.44625717
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.5967473
Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,0.30591828
