row,condition,comment
3,human_like,"Jag brukar köra med ”nu har du skitit i det blå skåpet”, ”det är ingen ko på isen” och ”han har inte alla hästar hemma”. Favoriten när man ska gasa är ändå ”full patte” eller ”nu blir det åka av”. Och när något gått riktigt snett: ”det där gick som en påse skridskor”."
4,detector_evasive,”Hela vägen in i kaklet” åker ofta fram. Även ”nu har du skitit i det blå skåpet” och ”inte den vassaste osthyveln i lådan”. När nån kör fort blir det ”stamp på högerburken”. Går nåt snett? Då är det ”motvind i kanoten”... Och fredag efter jobbet: ”ner med persiennerna och upp med Pripps Blå”. Vad kan gå fel?
6,baseline,Knappast. Det låter mer som ett sagovärldsnamn än ett typiskt svenskt namn. Sven Svensson tar nog den titeln.
3,baseline,"Jag kör ofta med ”full kastrull”, ”nu blir det åka av”, ”inte den snabbaste mopeden på campingen”, ”han har inte alla hästar i stallet” och ”det där gick som en påse nötter”. Även ”pelle i botten” i stället för plattan i mattan och ”nu har du parkerat snett i hjärnkontoret” när någon tänkt tokigt."
5,detector_evasive,På lyset. Packad. Plakat. Dyngrak. Rund under fötterna. I gasen. Salongsberusad om man vill låta lite fin. Annars är ”kalas” svårslaget... vem fattar inte direkt?
6,detector_evasive,Nä. Birk Borkason låter mer Astrid Lindgren-saga än svensk folkbokföring. Sven Svensson eller Anders Andersson tar den titeln. Vem har ens träffat en Borkason...?
7,baseline,"Ja, de smakar typ krita med en aggressiv bärarom 😅 Men hellre det än att försöka svälja vanliga tabletter."
7,detector_evasive,"Ja, smakar sött kritdamm med nån skum bananrest... Vem testade smaken och tänkte ”den här kör vi på”? Vanlig Alvedon-tablett är mindre plågsam."
3,detector_evasive,"”Full fart medvetslös” åker fram rätt ofta. Även ”nu har du skitit i det blå skåpet”, ”inte den vassaste kniven i lådan” och ”född i farstun”. När nån kör sakta blir det ”har du pannan i handbromsen?”. Farsan säger ”dra på syltan” när han gasar. Ingen vet varför... BMW brukar mest kallas blinkersbefriad kebabsläde."
7,human_like,"Ja fy, de är verkligen vidriga 😅 Smakar typ sött kritpulver med en besk eftersmak. Vanliga tabletter är hundra gånger lättare att få i sig om man kan svälja dem."
2,baseline,"Verkar tyvärr inte så. TV.nu brukar ha rätt kompletta tablåer, men kolla SVT Play – där kan åtminstone Svensson, Svensson finnas på begäran."
2,detector_evasive,"Ser inte ut så. SVT:s egen tablå har inget heller. Svensson, Svensson finns på SVT Play. Wallace & Gromit får man hyra eller streama separat... trist, vad ska annars gå på tv en sån kväll?"
9,human_like,"Lite tillspetsat, men han sätter fingret på något. Sverige har ofta en stark konsenskultur där avvikande åsikter bemöts med misstänksamhet snarare än sakargument. Samtidigt är det knappast unikt för Sverige, och formuleringen om ”sin egen postmoderna verklighet” känns mest som retorik för att provocera. Det finns en poäng i botten, men beskrivningen är för svepande för att vara särskilt träffsäker."
9,baseline,"Träffande som polemisk formulering, men knappast som en rättvis beskrivning av hela Sverige. Visst finns en stark konsensuskultur och ibland behandlas subjektiva upplevelser som fakta, men det är varken unikt svenskt eller något som präglar alla samhällsområden. Mer slagkraftigt än analytiskt, skulle jag säga."
8,human_like,"Nej, den som döms för våldtäkt och saknar rätt att stanna bör utvisas efter avtjänat straff, så långt lagen medger. Samtidigt är det orimligt att skötsamma människor som jobbar, betalar skatt och byggt ett liv här skickas hem på grund av små byråkratiska fel. Rättssäkerhet måste gälla, men reglerna behöver uppenbarligen ses över."
8,baseline,"Nej, självklart känns det orimligt. Den som döms för våldtäkt och saknar svenskt medborgarskap bör utvisas när lagen medger det. Samtidigt måste varje fall prövas rättssäkert – utvisning kan exempelvis hindras av risk för tortyr eller dödsstraff. Problemet löses inte genom att ställa brottslingar mot skötsamma människor, utan genom tydliga lagar och konsekventa beslut."
9,detector_evasive,"Träffande som provokation, men rätt grovt förenklat. Sverige har en stark konsensuskultur. Det märks i debatten om migration, kärnkraft och Folkhälsomyndigheten. När rätt åsikt blir viktigare än sakskäl stelnar allt. Samtidigt är svensk politik knappast unik där. Har inte varje land sina egna tabun...?"
8,detector_evasive,"Nej. Den som dömts för våldtäkt och saknar rätt att stanna ska utvisas efter avtjänat straff, så långt lagen tillåter. Samtidigt skickar Migrationsverket ut folk som jobbar, betalar skatt och sköter sig. Hur blev det rimligt? Reglerna måste väga in brott, arbete och faktisk anknytning bättre. Idag slår systemet ofta helt fel."
11,human_like,"Jakob Forssmed tycker jag ofta ger ett rätt sansat och påläst intryck, även om jag inte delar KD:s politik i stort. Carl-Oskar Bohlin känns också ovanligt rak och konkret. På vänstersidan har jag rätt stort förtroende för Mikael Damberg – lite tråkig kanske, men stabil och kompetent. Ygeman håller jag med om, han känns mer jordnära än många andra."
10,detector_evasive,"Jakob Forssmed ger ett bra intryck. Saklig. Påläst. Inte fast i partiets vanliga pratmallar. Carl-Oskar Bohlin känns också rak och närvarande. På S-sidan gillar jag Mikael Damberg mer än partiledningen. Ygeman är stabil, men har en del gammalt bagage... Måste man välja en blir det nog Forssmed."
12,baseline,"Carl-Oskar Bohlin ger ett påläst och tydligt intryck, särskilt i krisberedskapsfrågor. Även Mikael Damberg känns saklig och ganska lågmäld. Nooshi Dadgostar är retoriskt skicklig, även när jag inte håller med henne. Ygeman håller jag med om – stabil och mindre tillrättalagd än många andra."
12,human_like,"Carl-Oskar Bohlin har faktiskt gjort ett rätt bra intryck på mig. Saklig, tydlig och verkar påläst utan att hela tiden försöka leverera en viral one-liner. Även Elisabeth Svantesson känns kompetent, trots att jag inte alltid håller med henne politiskt. På S-sidan tycker jag också att Ygeman har ett lugn som många andra saknar."
10,baseline,"Jag tycker Mikael Damberg brukar ge ett lugnt och kompetent intryck, även när man inte håller med honom. Jakob Forssmed känns också ovanligt saklig och lågmäld, och Carl-Oskar Bohlin är tydlig och engagerad inom sitt område. Ygeman håller jag med om – stabil, men ibland lite väl inövad. Överlag uppskattar jag politiker som kan resonera utan att varje svar blir en partiledardebatt i miniformat."
10,human_like,"Carl-Oskar Bohlin ger ett rätt kompetent och sansat intryck, tycker jag. Även Jakob Forssmed känns ovanligt saklig. På vänstersidan är Nooshi Dadgostar retoriskt vass, även om jag inte håller med henne i allt. Ygeman har absolut en trygg framtoning, men han har också en del gammalt bagage. Överlag är det nästan lättare att uppskatta ministrar och utskottsfolk än partiledarna just nu."
13,baseline,"Carl-Oskar Bohlin ger ett rätt sakligt och kompetent intryck, särskilt i krisberedskapsfrågor. Jag tycker även att Ygeman ofta känns stabil och mindre tillrättalagd än många andra. Elisabeth Svantesson kan vara tydlig även när man inte håller med henne. Överlag uppskattar jag politiker som svarar konkret och inte låter som att de läser direkt ur partiets talepunkter."
11,baseline,"Jakob Forssmed och Carl-Oskar Bohlin ger oftast ett sakligt och påläst intryck, även när jag inte håller med dem. Ygeman har också en trygg framtoning, men en del politiskt bagage. Magdalena Andersson är bättre i längre intervjuer än i partiledardebatter. Överlag uppskattar jag politiker som kan svara rakt utan att omedelbart gå över till inövade talepunkter."
11,detector_evasive,Carl-Oskar Bohlin ger ett seriöst intryck. Rak och påläst utan onödigt spel. Mikael Damberg känns också stabil. Elisabeth Svantesson kan sin sak även när jag inte håller med. Sen har jag viss respekt för Nooshi Dadgostar. Tydlig och backar inte så fort det blåser. Varför är den nivån så ovanlig bland partiledarna...?
14,baseline,"Juldagen är framför allt den stora återhämtningsdagen för mig. Sovmorgon, långfrukost, rester från julbordet, promenad och någon film eller serie i soffan. Inga måsten och helst inga tider att passa – det är nästan det bästa med hela julen."
12,detector_evasive,Carl-Oskar Bohlin ger bra intryck. Rak. Påläst. Inget onödigt trams. Elisabeth Svantesson känns också saklig även när man inte håller med. Ygeman har rutin men väcker inte direkt nån större entusiasm... Saknar fler politiker som kan svara på en enkel fråga utan att dra hela partiets talepunkter. Ska det vara så svårt?
14,human_like,"Juldagen är mest en återhämtningsdag för mig. Sovmorgon, rester från julbordet, mjukiskläder och någon film man redan sett tio gånger. Ibland blir det en promenad eller fika hos släkten, men framför allt är det skönt att inte ha några måsten efter allt ståhej på julafton."
13,detector_evasive,Carl-Oskar Bohlin ger bra intryck. Rak. Påläst. Inget onödigt trams. Elisabeth Svantesson känns också saklig även när man inte håller med. På andra sidan gillar jag Ygeman och Mikael Damberg. Lite tråkiga kanske... men ska politik alltid vara underhållning?
13,human_like,"Ygeman håller jag faktiskt med om, han känns trygg och ganska ospektakulär på ett bra sätt. Carl-Oskar Bohlin och Elisabeth Svantesson ger också ett kompetent intryck, även om jag inte alltid håller med dem politiskt. Magdalena Andersson är bättre i längre intervjuer än i debatter, tycker jag. Överlag är det nästan alltid ministrar och riksdagsledamöter lite under partiledarnivån som känns mest vettiga."
14,detector_evasive,Juldagen är återhämtningsdagen. Pyjamas halva dan. Julrester till lunch. En promenad när dagsljuset tittar fram. Sen Karl-Bertil Jonsson på SVT Play eftersom man missade honom kvällen före. Inga tider att passa och inga paket kvar. Vad mer behövs...?
15,human_like,"Jag tycker Magdalena Andersson och Carl-Oskar Bohlin ger bäst intryck, fast på olika sätt. Andersson känns trygg och erfaren, medan Bohlin ofta är ovanligt rak och saklig. Sen håller jag absolut inte med dem om allt, men de framstår åtminstone som pålästa och någorlunda vuxna i rummet."
16,baseline,"Carl-Oskar Bohlin ger ett väldigt sakligt och påläst intryck, särskilt i krisberedskapsfrågor. Magdalena Andersson känns också trygg och erfaren, även om man inte håller med henne politiskt. Dessutom tycker jag att Nooshi Dadgostar ofta är tydlig och rak i debatter. Det är faktiskt lättare att uppskatta enskilda politiker än partierna som helhet."
15,baseline,"Carl-Oskar Bohlin ger ett seriöst och påläst intryck, särskilt i beredskapsfrågor. Magdalena Andersson känns också kompetent och trygg, även om man inte delar hennes politik. Nooshi Dadgostar är tydlig och rak i debatter. Överlag uppskattar jag politiker som svarar konkret utan att bara rabbla partiets talepunkter."
20,human_like,"Haha, den var så dålig att den nästan blev bra. 😄"
19,baseline,"”No go-zoner” där polisen aldrig åker in finns inte i Sverige. Det finns utsatta områden där insatser kan kräva mer planering och resurser, men polisen patrullerar och gör tillslag även där. Dessutom säljs narkotika där kunderna finns, och öppen försäljning innebär fortfarande risk för spaning, beslag, rån och konflikter med andra kriminella."
18,baseline,"Ja, tekniskt sett går det med en termoelektrisk generator som utnyttjar temperaturskillnaden mellan huden och omgivningen. Problemet är att skillnaden oftast bara är några få grader och att en klockas lilla yta därför ger väldigt lite effekt – typ mikro- till möjligen låga milliwatt under bra förhållanden. En Apple Watch drar betydligt mer än så, så det skulle på sin höjd kunna förlänga batteritiden lite, inte hålla den laddad. Dessutom fungerar det ännu sämre när omgivningen är varm. Tekniken finns i experimentella sensorer och enklare lågförbrukande klockor, men är än så länge rätt opraktisk för smartklockor."
18,human_like,"Ja, rent tekniskt går det med en termoelektrisk generator som utnyttjar temperaturskillnaden mellan handleden och omgivningen. Problemet är att skillnaden oftast bara är några få grader, så effekten blir väldigt liten. Det kan räcka till extremt strömsnåla klockor (det har faktiskt funnits sådana), men en Apple Watch drar alldeles för mycket med skärm, sensorer, GPS osv. Möjligen skulle det kunna ge lite extra batteritid, men knappast ersätta vanlig laddning."
17,human_like,"Ja, i teorin – med en termoelektrisk generator som utnyttjar temperaturskillnaden mellan handleden och luften. Problemet är att skillnaden oftast bara är några få grader och då blir effekten väldigt liten, typ mikro- till milliwatt beroende på yta och förhållanden. Det kan räcka till en extremt strömsnål vanlig klocka eller någon enkel sensor, men en Apple Watch drar betydligt mer, särskilt med skärm, GPS och radiosändare. Möjligen skulle det kunna förlänga batteritiden lite, men knappast göra den självförsörjande. Är det varmt ute försvinner dessutom nästan hela temperaturskillnaden."
15,detector_evasive,"Carl-Oskar Bohlin ger bäst intryck på mig. Rak. Påläst. Inget onödigt svammel. Jakob Forssmed känns också seriös och rätt lågmäld. På vänstersidan tycker jag Nooshi Dadgostar är skicklig, även när jag inte håller med. Vem orkar med fler politiker som bara läser innantill?"
18,detector_evasive,"Ja, med ett termoelektriskt element. Problemet är att det krävs temperaturskillnad. Handleden ligger nära klockans temp och då blir effekten liten. Kan räcka till ett enkelt kvartsur, men inte till en Apple Watch med skärm, GPS och radio. Seiko Thermic och Matrix PowerWatch har testat tekniken. För Apple Watch blir prylarna större än nyttan... solceller ger mer."
20,baseline,"Haha, den var så dålig att den nästan kompilerar. 😄"
19,human_like,"För att ”no go-zoner” mest är ett missvisande begrepp. Polisen åker visst in i de områdena, ofta med extra resurser, spaning och kameror. Att stå öppet och sälja där är alltså knappast riskfritt – dessutom har man rivaler och boende att förhålla sig till."
17,detector_evasive,"Det går. Kallas termoelektrisk generator och bygger på Seebeckeffekten. Problemet är temperaturskillnaden. Handleden ligger nära klockans temp så man får ut rätt lite effekt. Seiko Thermic testade detta redan på 90-talet och Matrix PowerWatch kör samma idé. Funkar för snåla urverk och sensorer. En Apple Watch med skärm, GPS, wifi och processor drar långt mer. Möjligen några extra minuters batteritid... knappast självladdande."
19,detector_evasive,"För att ”no go-zon” mest är en missvisande etikett. Polisen åker in i Rinkeby, Rosengård och andra utsatta områden. De gör razzior, spanar och griper folk. Kameror finns också. Dessutom måste kunder ta sig dit och rivaler lär inte lämna säljare i fred... så var skulle det riskfria ligga?"
16,detector_evasive,Carl-Oskar Bohlin ger bra intryck. Rak. Påläst. Inget onödigt svammel. Samma med Elisabeth Svantesson även om jag inte köper all politik. Magdalena Andersson känns ofta mer stabil än sitt parti. Nooshi Dadgostar är skicklig i debatter och vågar säga nej. Sen saknar man politiker som kan svara på en enkel fråga utan fem minuter inövade fraser... Är det för mycket begärt?
20,detector_evasive,"Haha, den var torr. Men Syntax är ändå bättre hundnamn än Java... vem vill ropa det i parken?"
17,baseline,"Ja, i princip – med en termoelektrisk generator (Seebeckeffekten). Men det krävs en temperaturskillnad mellan handleden och klockans utsida, och den är oftast bara några få grader. Då blir effekten väldigt liten, typ mikro- till låga milliwatt under bra förhållanden, medan en Apple Watch i snitt behöver betydligt mer och ännu mer vid skärm/GPS.

Tekniken har använts i vissa extremt strömsnåla klockor och sensorer, men för en smartwatch skulle den på sin höjd kunna ge lite underhållsladdning och marginellt längre batteritid. Dessutom måste klockan kunna avleda värme på utsidan – är hela klockan nästan kroppstempererad får man i princip ingen energi alls."
21,human_like,"Beror helt på vad du gillar, men jag tycker Max ger mest för pengarna just nu. Bra blandning av filmer, HBO-serier och dokumentärer. Netflix har störst utbud men känns också dyrast sett till hur mycket bra grejer man faktiskt hittar. Jag brukar köra en tjänst i taget och byta när jag sett klart det jag vill se."
21,baseline,"Beror helt på vad du gillar, men Max är nog bäst allround just nu med bra serier, filmer och HBO-utbud. Netflix har störst bredd men känns dyrt och ojämnt, medan Disney+ är bäst för barnfamiljer och franchise-fans. Jag hade kört Max och bytt mellan övriga månadsvis beroende på vad man vill se."
21,detector_evasive,"Max ger mest för pengarna nu. Bra serier, stark filmkatalog och HBO-grejerna håller. Netflix har mer men också mycket skräp. Apple TV+ vinner på kvalitet men utbudet är tunt. Och SVT Play ska inte glömmas... gratis och ofta bättre än väntat."
23,baseline,"Nej, inte om det faktiskt är uppenbart och går att belägga. Brunsmetning är när man försöker koppla någon till nazism eller högerextremism utan rimliga belägg, bara för att misstänkliggöra personen. Att sakligt påpeka tydliga uttalanden, handlingar eller kopplingar är något annat."
23,human_like,"Nej, inte om det faktiskt är uppenbart och går att belägga. Brunsmetning är snarare när man försöker klistra extrema åsikter på någon genom lösa associationer i stället för att bemöta det personen faktiskt säger. Samtidigt räcker det inte att kalla något ”uppenbart” för att slippa komma med konkreta exempel."
16,human_like,"Magdalena Andersson och Carl-Oskar Bohlin ger bäst intryck på mig, trots att de står ganska långt ifrån varandra politiskt. Båda känns pålästa, relativt raka och mindre upptagna av billiga poänger än många andra. Nooshi Dadgostar är också skicklig i debatter, även om jag inte håller med henne om särskilt mycket."
23,detector_evasive,"Nej, inte om kopplingen går att belägga. Citat, medlemskap och samröre är fakta. Att kalla SD nazister bara för att slippa sakdebatt är däremot brunsmetning. Frågan är alltså vad som faktiskt är ”uppenbart”... och för vem?"
24,human_like,"Min erfarenhet är att norrmän i grunden gillar Sverige och svenskar, men att de samtidigt ser Sverige som ett varnande exempel när det gäller kriminalitet, integration och politisk naivitet. Sedan finns ju den gamla syskonrivaliteten kvar – de skämtar om oss, vi skämtar om dem, men när det väl gäller står vi ändå varandra rätt nära."
22,human_like,"Ta med portionspåsar med ris och nån konservburk typ chili con carne, ravioli eller köttfärssås. Allt klarar sig i rumstemperatur och går att micra i en skål. Tortillabröd och mjukost på tub är också rätt smidigt om du vill slippa panpizza-känslan."
24,baseline,"Min bild är att många norrmän gillar Sverige och svenskar, men samtidigt ser oss som ett varnande exempel när det gäller migration, kriminalitet och politisk naivitet. Lite broderlig skadeglädje kanske, men också genuin oro eftersom utvecklingen påverkar hela Norden."
22,detector_evasive,"Påsris + Felix chili con carne på burk. Soppa, ravioli, nudlar eller gröt funkar också. Tortillabröd med bönor och salsa om du vill slippa micra allt. Köp små förpackningar och käka upp direkt bara... öppnade rester utan kyl är ingen höjdare."
22,baseline,"Kör portionspåsar med mikroris + tonfisk/makrill på burk, färdiga grytor/soppor i tetra, nudlar eller havregrynsgröt. Tortillabröd, mjukost på tub och konserver funkar också utan kyl så länge förpackningen är oöppnad. Betydligt roligare än panpizza varje dag."
24,detector_evasive,"Norrmän är knappast en enda grupp. Många gillar Sverige för billig mat, natur och släktband. Samtidigt ses svensk kriminalpolitik och migrationspolitik som varnande exempel. NRK rapporterar ofta om skjutningar i Malmö och Stockholm. Då blir bilden rätt mörk. Men svenskar och norrmän står fortfarande nära varandra. Lite syskonbråk, lite avund på oljan... mer dramatiskt än så är det nog inte."
27,baseline,"Skansen är klassikern om man vill ha riktig nyårsstämning, annars är utsiktsplatser som Monteliusvägen eller Fjällgatan populära vid tolvslaget. Boka restaurang eller fest i god tid, det mesta blir fullt snabbt. Ett annat tips är middag hemma och sedan promenad ner mot Skeppsholmen/Strandvägen – men räkna med mycket folk och stökig kollektivtrafik efter midnatt. Undvik att ta med egna fyrverkerier, det finns regler och restriktioner på många platser."
28,human_like,"Skansen är klassiskt om man vill ha riktig nyårsstämning, men det blir mycket folk. Annars boka middag någonstans på Söder och gå upp till Monteliusvägen eller Skinnarviksberget vid tolvslaget – grym utsikt över stan. Var ute i god tid bara, både restauranger och bra utsiktsplatser blir snabbt fulla."
29,baseline,"Kör Comviq i Stockholm och det funkar generellt väldigt bra, både 4G och 5G. Märker ingen större skillnad mot Telia utomhus, men inomhus kan täckningen variera från hus till hus. Köp ett kontantkort och testa hemma, på jobbet och längs din vanliga resväg innan du flyttar numret – det är egentligen enda sättet att veta säkert."
28,baseline,"Boka bord i god tid och dra sedan till Skinnarviksberget, Monteliusvägen eller Fjällgatan vid tolvslaget för fin utsikt över stan. Vill ni ha mer fest finns nyårsklubbar runt Stureplan och Slakthusområdet, men biljetterna brukar gå åt snabbt. Undvik bilen – kollektivtrafik eller promenad är klart smidigast. Och klä er varmt, det blir lätt rätt rått när man står och väntar på tolvslaget 🙂"
26,human_like,"På själva Centralen är det nog dåligt med kallingar, möjligen kan någon Pressbyrå ha strumpor i nödfall. Gå till Åhléns City i stället, det ligger typ två minuter bort och har både herrkalsonger och strumpor."
27,human_like,"Beror lite på vad ni är ute efter, men middag på Söder och sen gå upp till Monteliusvägen eller Skinnarviksberget vid tolvslaget brukar vara trevligt. Skansen är också klassiskt om man vill ha mer organiserat firande. Boka restaurang i god tid bara, det mesta vettiga blir fullt snabbt på nyår. Och klä er varmare än ni tror behövs – det blir lätt svinkallt när man står still och väntar 😅"
27,detector_evasive,Skansen brukar ha klassiskt nyårsfirande med nedräkning och utsikt över stan. Vill du slippa biljett kan du dra till Monteliusvägen eller Fjällgatan vid tolvslaget. Räkna med trängsel... kom tidigt. Käka innan på Söder. Sen bar runt Hornstull eller Mariatorget. Undvik bil och taxi efter midnatt. Tunnelbanan är klart smidigare. Fest eller lugnt nyår?
29,detector_evasive,"Kör Comviq i Stockholm och det funkar fint. Bra fart i innerstan och inga större problem i tunnelbanan. Kan vara lite sämre inne i vissa hus än Telia, men inget som stör mig. Kolla täckningen hemma och på jobbet först. Det är där skillnaden märks, inte mitt på Sergels torg... Med bättre pris hade jag bytt."
28,detector_evasive,Skansen är klassikern med nyårstal och utsikt. Biljetter brukar gå åt snabbt. Annars middag på Söder och sen upp till Fjällgatan eller Monteliusvägen vid tolvslaget. Räkna med mycket folk... Vill ni slippa trängseln kan ni boka bastu vid Hellasgården på dagen och köra hemmafest efteråt. Tunnelbanan går sent men taxi blir dyrt och segt. Skippa Gamla stan om ni inte gillar köer.
26,baseline,"Ingen ren underklädesbutik vad jag vet, men Pressbyrån brukar ha strumpor och ibland kallingar. Annars ligger Åhléns City precis utanför Centralen och har betydligt bättre utbud."
29,human_like,"Har haft Comviq i flera år och det funkar överlag riktigt bra i Stockholm, både innerstan och förorterna. Har inte märkt någon större skillnad mot Telia till vardags, möjligtvis lite sämre täckning inomhus i vissa källarlokaler. Skulle köra på ett kontantkort en månad och testa där du bor/jobbar innan du flyttar numret."
26,detector_evasive,"Inte vad jag vet inne på själva Centralen. Behöver du både strumpor och kallingar är Åhléns City enklast. Ligger precis utanför mot Klarabergsgatan och har herravdelning. Tar några minuter bara. Pressbyrån kan ha strumpor i nödfall, men kallingar? Knappast."
30,baseline,"Har kört Comviq/Tele2 i Stockholm och det funkar generellt väldigt bra, både innerstan och förorterna. Hastigheten är oftast bra och täckningen stabil, men i vissa källare, garage och ute i skärgården upplever jag Telia som något bättre. I vardagen är skillnaden liten, så om priset är klart bättre hade jag bytt – testa gärna med kontantkort först på platser där du brukar vara."
25,human_like,"Inte vad jag vet inne på själva Centralen, men Åhléns City ligger bara ett par minuters promenad bort på Klarabergsgatan. Där finns herravdelning med både strumpor och kallingar."
25,detector_evasive,På själva Centralen är utbudet rätt skralt. Pressbyrån brukar ha enkla strumpor och kallingar för nödläge. Annars gå till Åhléns City vid Klarabergsgatan. Herravdelningen har båda och ligger bara några minuter bort.
30,detector_evasive,"Har haft Comviq i flera år. Funkar bra i innerstan och tunnelbanan. Inga större problem i Solna, Sundbyberg eller söderort heller. Telia kan vara bättre inne i vissa hus och ute i skärgården, men märks det i vardagen? Knappast. Testa kontantkort en månad innan du flyttar numret... då ser du hur det funkar hemma och på jobbet."
30,human_like,"Comviq/Tele2 funkar överlag väldigt bra i Stockholm, både 4G och 5G. Skillnaden mot Telia märks främst inomhus i vissa äldre hus, källare och ute i skärgården, där Telia ibland är bättre. Inne i stan hade jag valt efter pris – testa gärna ett kontantkort först där du bor och jobbar."
33,human_like,"Det beror på hur kompakt pulvret är, men 50 g gainer brukar vara ungefär 1–1,2 dl. Bäst är att väga upp det en gång med köksvåg och se, eftersom det kan skilja mellan märken."
34,baseline,"Det beror på hur kompakt pulvret är, så gram går inte att översätta exakt till dl. För många gainers är 50 g ungefär 1 dl, men väg det helst med en köksvåg första gången."
33,detector_evasive,"Beror på pulvret. 50 g brukar landa runt 1 dl, men inte exakt. Väg upp 50 g en gång och kolla nivån i dl-måttet. Då slipper du gissa framöver."
34,human_like,"Det beror på hur kompakt pulvret är, så gram går inte att översätta exakt till dl. Brukar ligga runt 1 dl för 50 g, men väg upp det en gång med köksvåg så vet du för just din gainer."
33,baseline,"Det beror på hur kompakt pulvret är, så 50 g är inte alltid samma volym. Väg upp 50 g med en köksvåg första gången och kolla hur mycket det blir i dl-måttet – ofta ungefär 1 dl, men följ helst måttet på förpackningen."
35,human_like,"Det beror på hur kompakt pulvret är, så det går inte att säga exakt i dl. Oftast är 50 g gainer ungefär 1 dl, men väg upp det första gången med en köksvåg så vet du."
35,baseline,"Det beror på gainerns densitet, så 50 g är inte automatiskt ett visst dl-mått. Väg upp 50 g med en köksvåg första gången och se hur mycket det blir i dl – ofta ungefär 1 dl, men det kan variera mellan olika märken."
34,detector_evasive,Det går inte att räkna exakt utan att veta hur kompakt pulvret är. Gainer väger olika beroende på märke. Ska det bli 50 g så använd köksvåg. Billig och mycket säkrare än dl-mått... annars kolla om påsen anger gram per skopa.
32,baseline,"Gamla Riksarkivet är riktigt bra om du vill ha klassiskt och påkostat julbord i fin miljö. Även Stadshuskällaren, Operakällaren och Ulla Winbladh brukar hålla hög nivå. För ett lite mer storslaget alternativ är Verandan på Grand Hôtel svårslaget. Boka tidigt – särskilt kvällar och helger går snabbt."
32,detector_evasive,"Gamla Riksarkivet är mitt förstaval. Klassiskt men inte stelt. Bra sill, kallskuret och dessertbord. Ulla Winbladh är också säkert kort om man vill ha mer gammaldags känsla. Grand Hôtel Verandan om budgeten är hög. Stadshuskällaren för snygg miljö och bra nivå rakt igenom. Vill man göra en utflykt av det? Fjäderholmarnas Krog... båtturen hör nästan till. Boka tidigt bara. Bra helgtider ryker fort."
25,baseline,"Kolla Kappahl inne på Centralen, de brukar ha både herrstrumpor och kallingar. Annars ligger Åhléns City bara någon minuts promenad bort och har ett större utbud."
32,human_like,"Gamla Riksarkivet är riktigt bra om ni vill ha ett klassiskt julbord i fin miljö, men det kostar därefter. Ulla Winbladh är också ett säkert kort och lite mer genuint/traditionellt i mitt tycke. Verandan på Grand Hôtel om ni vill slå på stort. Oavsett vilket: boka tidigt, de populära sittningarna ryker fort."
31,detector_evasive,"Jo. Stockholms Badmintonstadion ligger på S:t Eriksgatan 58–60, nära Fridhemsplan. Där kan man boka bana. I Bromma finns även badminton i Åkeshovshallen."
36,human_like,"Det beror på hur kompakt pulvret är, så det går inte att säga exakt. För många gainers är 50 g ungefär 1 dl, men väg upp det på en köksvåg första gången så vet du."
